Industry code,Industry name,Year,P10,P25,P50,P75,P90,Mean
1 to 3,"Agriculture, forestry and fishing",2010,1,2,3,4,5,3
5 to 9,Mining and quarrying,2010,1,2,3,4,5,3
10,Manufacture of food products,2010,1,2,3,4,5,3
11,Manufacture of beverages,2010,1,2,3,4,5,3
13,Manufacture of textiles,2010,1,2,3,4,5,3
14,Manufacture of wearing apparel,2010,1,2,3,4,5,3
15,Manufacture of leather and related products,2010,1,2,3,4,5,3
16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2010,1,2,3,4,5,3
17,Manufacture of paper and paper products,2010,1,2,3,4,5,3
18,Printing and reproduction of recorded media,2010,1,2,3,4,5,3
19,Manufacture of coke and refined petroleum products,2010,1,2,3,4,5,3
20,Manufacture of chemicals and chemical products,2010,1,2,3,4,5,3
21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2010,1,2,3,4,5,3
22,Manufacture of rubber and plastic products,2010,1,2,3,4,5,3
23,Manufacture of other non-metallic mineral products,2010,1,2,3,4,5,3
24,Manufacture of basic metals,2010,1,2,3,4,5,3
25,"Manufacture of fabricated metal products, except machinery and equipment",2010,1,2,3,4,5,3
26,"Manufacture of computer, electronic and optical products",2010,1,2,3,4,5,3
27,Manufacture of electrical equipment,2010,1,2,3,4,5,3
28,Manufacture of machinery and equipment n.e.c.,2010,1,2,3,4,5,3
29,"Manufacture of motor vehicles, trailers and semi-trailers",2010,1,2,3,4,5,3
30,Manufacture of other transport equipment,2010,1,2,3,4,5,3
31,Manufacture of furniture,2010,1,2,3,4,5,3
32,Other manufacturing,2010,1,2,3,4,5,3
33,Repair and installation of machinery and equipment,2010,1,2,3,4,5,3
35,"Electricity, gas, steam and air conditioning supply",2010,1,2,3,4,5,3
36 to 37,"Water collection, treatment and supply and sewerage",2010,1,2,3,4,5,3
38 to 39,"Waste collection, treatment and disposal activities; Remediation activities and other waste management services",2010,1,2,3,4,5,3
41,Construction of buildings,2010,1,2,3,4,5,3
